google,link,Gender,Rank,year,ecology,macroecology_081512,communityecology_073112,conservation biology 082112,physiological ecology_073112,behavioral ecology 080712,behavioural ecology080912,ecosystem ecology 081912,population_ecology_080912,evolutionary_ecology 080212,theoretical_ecology081412,landscape_ecology081512,paleoecology081512
Fred A Johnson,http://scholar.google.com/citations?user=XtCxWO0AAAAJ&hl=en,m,,2010,,,,,,,,,18,,,,
Fred Jean,http://scholar.google.com/citations?user=gpO8NjUAAAAJ&hl=en,m,,1994,773,,,,,,,,,,,,
Frederic Boivin,http://scholar.google.com/citations?user=NJuxOj4AAAAJ&hl=en,m,,-999,1649,,,,,,,,,,,,
Frederic Ysnel,http://scholar.google.com/citations?user=iH_jK5oAAAAJ&hl=en,m,,-999,,,,296,,,,,,,,,
Frederico de Siqueira Neves,http://scholar.google.com/citations?user=8b62L10AAAAJ&hl=en,m,,-999,,,116,,,,,,,,,,
Fredrik Sundstrom,http://scholar.google.com/citations?user=jJ2RPj0AAAAJ&hl=en,m,associate,2004,,,,,,50,,,,,,,
Fumikazu Akamatsu,http://scholar.google.com/citations?user=dXFV3QUAAAAJ&hl=en,,,-999,1207,,,,,,,,,,,,
G Wilson Fernandes,http://scholar.google.com/citations?user=QFmrCn4AAAAJ&hl=en,m,full,-999,197,,,60,,,,,,,,,
G.-Fivos Sargentis,http://scholar.google.com/citations?user=bnHDA8gAAAAJ&hl=en,m,,-999,1513,,,,,,,,,,,,
Gabor Csorba,http://scholar.google.com/citations?user=pjP8QYkAAAAJ&hl=en,,,-999,,,,321,,,,,,,,,
Gabriel Bowen,http://scholar.google.com/citations?user=N8vn4BcAAAAJ&hl=en,m,associate,2003,267,,,,,,,,,,,,
Gabriel C. Costa,http://scholar.google.com/citations?user=jcVy5tMAAAAJ&hl=en,m,assistant,2009,,62,,,,,,,,,,,
Gabriel Gartner,http://scholar.google.com/citations?user=37Q_ZPMAAAAJ&hl=en,m,postdoc,2011,,,,,,,,,,245,,,
Gabriel Katul,http://scholar.google.com/citations?user=OVCVvgEAAAAJ&hl=en,m,full,-999,31,,,,,,,,,,,,
Gabriel Langford,http://scholar.google.com/citations?user=Lb8xSa4AAAAJ&hl=en,m,assistant,2010,1460,,,,,,,,,,,,
Gabriel Ramos-Fernandez,http://scholar.google.com/citations?user=RxUhCCYAAAAJ&hl=en,m,associate,2001,,,,205,,58,,,,,,,
Gabriel Yvon-Durocher,http://scholar.google.com/citations?user=eAqv-voAAAAJ&hl=en,m,postdoc,2010,,94,145,,,,,62,,,,,
"gabriel, r",http://scholar.google.com/citations?user=8gXpwzUAAAAJ&hl=en,f,,-999,863,,,,,,,,,,,,
Gabriela Ibarguchi,http://scholar.google.com/citations?user=dRA5qhcAAAAJ&hl=en,f,,2011,1325,,,,,,,,,,,,
Gabriela Lopez-Gonzalez,http://scholar.google.com/citations?user=sW-_n_0AAAAJ&hl=en,f,,-999,582,,,,,,,,,,,,
Gaelle Blanvillain,http://scholar.google.com/citations?user=Y-YyZ-4AAAAJ&hl=en,,,-999,1209,,,,,,,,,,,,
gaetano aloise,http://scholar.google.com/citations?user=zZIT3_4AAAAJ&hl=en,m,,,980,,,,,,,,,,,,
Gail Schofield,http://scholar.google.com/citations?user=JuAIkOoAAAAJ&hl=en,f,postdoc,-999,955,,,,,,,,,,,,
Gaku Takimoto,http://scholar.google.com/citations?user=vMc3UzkAAAAJ&hl=en,m,associate,-999,556,,,,,,,,,,,,
Gareth B. Jenkins,http://scholar.google.com/citations?user=6_6qsOoAAAAJ&hl=en,m,student,0,1294,,,,,,,,,,,,
Gareth Hopkins,http://scholar.google.com/citations?user=HoP-PuQAAAAJ&hl=en,m,student,0,1564,,,,,,,,,,,,
Gareth Jones,http://scholar.google.com/citations?user=26tnVuUAAAAJ&hl=en,m,full,-999,,,,27,,,,,,,,,
Gary Burness,http://scholar.google.com/citations?user=aVB4HmYAAAAJ&hl=en,m,associate,2000,,,,,18,,,,,,,,
Gary Ivey,http://scholar.google.com/citations?user=0957HPYAAAAJ&hl=en,m,,-999,,,,503,,,,,,,,,
Gary Luck,http://scholar.google.com/citations?user=2lGyeV0AAAAJ&hl=en,,,2000,,,,,,,,,,,,28,
Gary Mittlebach,http://scholar.google.com/citations?user=WyFgD1YAAAAJ&hl=en,m,full,1980,,,7,,,,,,,,,,
Gary R. Graves,http://scholar.google.com/citations?user=2E9Q-rwAAAAJ&hl=en,m,,1983,196,,,,,,,,,,,,
Gary S Sayler,http://scholar.google.com/citations?user=Awp4-1M0Mn0C&hl=en,m,full,1974,36,,,,,,,,,,,,
Gaston Small,http://scholar.google.com/citations?user=qotdVyEAAAAJ&hl=en,m,postdoc,2010,,,,,,,,86,,,,,
Gaurav Zinta,,,student,0,,,,,,,,,,,,,
GAUTAM ADITYA,http://scholar.google.com/citations?user=sMjGFugAAAAJ&hl=en,,associate,-999,1059,,,,,,,,,,,,
GAUTAM ADITYA,http://scholar.google.com/citations?user=sMjGFugAAAAJ&hl=en,,associate,-999,1085,,,,,,,,,,,,
Geir Wing Gabrielsen,http://scholar.google.com/citations?user=SBOUXhYAAAAJ&hl=en,m,,-999,109,,,,,,,,,,,,
Gengping Zhu,http://scholar.google.com/citations?user=iv-j8TcAAAAJ&hl=en,m,postdoc,-999,,137,,,,,,,,,,,
Gentile Francesco Ficetola,http://scholar.google.com/citations?user=K9NRypQAAAAJ&hl=en,,postdoc,2005,,35,,,,,,,,,,,
Geoff Gurr,http://scholar.google.com/citations?user=nqoEPS8AAAAJ&hl=en,m,full,-999,219,,,,,,,,,,,,
Geoff Heard,http://scholar.google.com/citations?user=S2lO1eUAAAAJ&hl=en,m,,2010,1215,,,519,,,,,,,,,
Geoffrey Trussell,http://scholar.google.com/citations?user=-ig8teoAAAAJ&hl=en,m,associate,1998,,,,,,,,25,,,,,
Geofrey Soka,http://scholar.google.com/citations?user=eyBl6r8AAAAJ&hl=en,m,student,0,,,,688,,,,,,,,166,
George A. Lozano,http://scholar.google.com/citations?user=HipcLHwAAAAJ&hl=en,,,1996,,,,,,,,,,102,,,
George Roff,http://scholar.google.com/citations?user=g_m1R7IAAAAJ&hl=en,m,postdoc,-999,1077,,,,,,,,,,,,
George W. Uetz,http://scholar.google.com/citations?user=Jea7-RMAAAAJ&hl=en,m,full,1976,,,,,,11,,,,,,,
Georges Kunstler,http://scholar.google.com/citations?user=SlIUBF4AAAAJ&hl=en,m,,-999,639,,,,,,,,,,,,
Georgina A. Rivera-Ingraham,http://scholar.google.com/citations?user=ZOzuFnEAAAAJ&hl=en,f,postdoc,2010,,,,586,,,,,,,,,
Gerald Jurasinski,http://scholar.google.com/citations?user=L6FLr-MAAAAJ&hl=en,m,,2007,,,,,,,,,,,,123,
Gerald R Urquhart,http://scholar.google.com/citations?user=iqUO7HYAAAAJ&hl=en,m,assistant,1998,1241,,,,,,,,,,,,
Gerald Wilkinson,http://scholar.google.com/citations?user=Yy5PenMAAAAJ&hl=en,m,full,1984,,,,,,10,,,,,,,
Gerard Edward Ryan,http://scholar.google.com/citations?user=pU7MMEoAAAAJ&hl=en,m,,-999,1656,,,,,,,,,,,,
GERARD KIELY,http://scholar.google.com/citations?user=vWb9nPsAAAAJ&hl=en,m,associate,1989,353,,,,,,,,,,,,
Gerard N Gouwakinnou,http://scholar.google.com/citations?user=LrHhfdcAAAAJ&hl=en,m,,-999,,,,643,,,,,,,,,
Gerard Van der Velde,http://scholar.google.com/citations?user=V8uuaYIAAAAJ&hl=en,,,-999,,,,,,,,,,,,,
Gerardo Zardi,http://scholar.google.com/citations?user=s8019k0AAAAJ&hl=en,m,postdoc,2006,884,,,,,,,,,,,,
Gerlinde Hobel,http://scholar.google.com/citations?user=Ov-sNH8AAAAJ&hl=en,f,assistant,2003,,,,,,101,,,,,,,
German Bonilla Rosso,http://scholar.google.com/citations?user=8yLt5_0AAAAJ&hl=en,m,student,0,573,,,,,,,,,,,,
German Orizaola,http://scholar.google.com/citations?user=8vE70D0AAAAJ&hl=en,m,,2004,1075,,,,,,,,,,,,
Gert Grobler,http://scholar.google.com/citations?user=SdcDk3AAAAAJ&hl=en,m,student,0,,,,637,,,,,,,,,
GF Grether,http://scholar.google.com/citations?user=SJipkAMAAAAJ&hl=en,m,full,-999,411,,,,,,,,,,,,
Ghislain Vieilledent,http://scholar.google.com/citations?user=fv71B7UAAAAJ&hl=en,m,,-999,1266,,,,,,,,,,,,
Giai Petit,http://scholar.google.com/citations?user=Oy7Ss7AAAAAJ&hl=en,m,assistant,-999,,,,,,,,,,,,,
Gian Maria Niccolo Benucci,http://scholar.google.com/citations?user=LGKOIrEAAAAJ&hl=en,m,,2011,,,,,,,,,,,,,
Gianluca Corno,http://scholar.google.com/citations?user=DY1qaTgAAAAJ&hl=en,m,,2005,1116,,,,,,,,,,,,
Gianluigi Bacchetta,http://scholar.google.com/citations?user=S2xhCugAAAAJ&hl=en,m,associate,-999,,,,246,,,,,,,,,
Gianmarco Silva David,http://scholar.google.com/citations?user=3yrdtfcAAAAJ&hl=en,m,,-999,1584,,,,,,,,,,,,
Gil Bohrer,http://scholar.google.com/citations?user=tlGnuiMAAAAJ&hl=en,m,assistant,2007,723,,,,,,,,,,,,
Gil Rilov,http://scholar.google.com/citations?user=SlmoKIIAAAAJ&hl=en,m,,2000,,,75,,,,,,,,,,
Gilad Bino,http://scholar.google.com/citations?user=Pe74S2oAAAAJ&hl=en,,postdoc,2011,1415,,,617,,,,,,,,,
Gildas Merceron,http://scholar.google.com/citations?user=Gc5Bs14AAAAJ&hl=en,,,2003,504,,,,,,,,,,,,
Giorgi Chaladze,http://scholar.google.com/citations?user=HC4fc4gAAAAJ&hl=en,,,-999,,,,,,,,,101,,,,
Giorgina Bernasconi,http://scholar.google.com/citations?user=ECpQua4AAAAJ&hl=en,f,,-999,,,,,,,,,,88,,,
Giorgio Bavestrello,http://scholar.google.com/citations?user=JCtn8j0AAAAJ&hl=en,m,,1991,,,,,,,,,,,,,
Giorgos Kokkoris,http://scholar.google.com/citations?user=qyrOa_YAAAAJ&hl=en,m,,1999,,,79,,,,,,,,,,
Giovanni Ramon,http://scholar.google.com/citations?user=JyRCv1UAAAAJ&hl=en,m,student,0,1603,,,,,,,,,,,,
Giovanni Strona,http://scholar.google.com/citations?user=yD6KDroAAAAJ&hl=en,m,postdoc,2009,,124,,,,,,,,,,,
Gita Benadi,http://scholar.google.com/citations?user=EYsy0M4AAAAJ&hl=en,f,student,0,,,,,,,,,,,73,,
giuliano fanelli,http://scholar.google.com/citations?user=ZwsFK8IAAAAJ&hl=en,m,,1994,660,,,,,,,,,,,,
Giulio De Leo,http://scholar.google.com/citations?user=lmmq0XsAAAAJ&hl=en,m,full,1993,468,,,,,,,,,,,,
Giuseppe Amatulli,http://scholar.google.com/citations?user=LSxTtpMAAAAJ&hl=en,m,postdoc,2005,1103,,,,,,,,,,,,
Glenda Wardle,http://scholar.google.com/citations?user=qUjf6-gAAAAJ&hl=en,f,associate,-999,834,,,,,,,,,,,,
Glenda Yenni,http://scholar.google.com/citations?user=DUQgBw4AAAAJ&hl=en,f,student,0,,,319,,,,,,,,83,,
Glenn Juday,http://scholar.google.com/citations?user=QScJ2pcAAAAJ&hl=en,m,full,1976,,,,83,,,,,,,,,
Glenn R. Almany,http://scholar.google.com/citations?user=WVklOgQAAAAJ&hl=en,m,,2002,453,,,161,,,,,,,,,
Goeff Kushnick,http://scholar.google.com/citations?user=uGMQhIsAAAAJ&hl=en,m,,2006,,,,,,152,,,,,,,
Gonzalo Barcelo,http://scholar.google.com/citations?user=5kaZBDAAAAAJ&hl=en,m,student,0,1582,,,,,,,,,,,,
Gopal S. Singh,http://scholar.google.com/citations?user=9BEjuQoAAAAJ&hl=en,m,associate,-999,1083,,,,,,,,,,,,
Gopalasamy Reuben Clements,http://scholar.google.com/citations?user=4omO-JQAAAAJ&hl=en,m,student,0,1009,,,390,,,,,,,,,
Gorcin Cvijanovic,http://scholar.google.com/citations?user=wHUWRkUAAAAJ&hl=en,m,student,0,,,,489,,,,,,,,,
Gordon Holtgrieve,http://scholar.google.com/citations?user=KSeMXXsAAAAJ&hl=en,m,,2009,,,,,,,,64,,,,,
Gordon McNIckle,http://scholar.google.com/citations?user=qMnlAC4AAAAJ&hl=en,m,postdoc,2010,,,,,,,,,,202,,,
Gottgens JF,http://scholar.google.com/citations?user=T6FDz7UAAAAJ&hl=en,m,full,1992,836,,,,,,,,,,,,
GP Robertson,http://scholar.google.com/citations?user=fvD4w7kAAAAJ&hl=en,m,full,1980,48,,,,,,,,,,,,
Graeme Shannon,http://scholar.google.com/citations?user=H2fiyScAAAAJ&hl=en,m,postdoc,2005,,,,404,,,62,,,,,116,
Grant C Hose,http://scholar.google.com/citations?user=1EIGDgUAAAAJ&hl=en,m,senior lecturer,-999,650,,,,,,,,,,,,
Grant J Williamson,http://scholar.google.com/citations?user=pol-BLkAAAAJ&hl=en,m,,2008,1283,,,,,,,,,,,,
Greet De Coster,http://scholar.google.com/citations?user=K39ONNYAAAAJ&hl=en,f,postdoc,-999,1601,,,,,,,,,,,,
Greg A Breed,http://scholar.google.com/citations?user=EvT-wxUAAAAJ&hl=en,m,postdoc,2009,785,,,,,,,,,,,,
Greg Noe,http://scholar.google.com/citations?user=XXqBNdgAAAAJ&hl=en,m,,1999,572,,,,,,,,,,,,
Gregor Sanders,http://scholar.google.com/citations?user=yIC7dbgAAAAJ&hl=en,m,student,0,1664,,,,,,,,,,,,
Gregory Asner,,,,1997,,,,,,,,,,,,,
Gregory Hurst,http://scholar.google.com/citations?user=32U3ydQAAAAJ&hl=en,m,full,1994,131,,,,,,,,,,,,
Gregory Korniss,http://scholar.google.com/citations?user=RjUYapgAAAAJ&hl=en,m,associate,1997,,,,,,,,,,,21,,
Gregory Ruthig,http://scholar.google.com/citations?user=a4gRkesAAAAJ&hl=en,m,assistant,2006,,,,570,,,,,,,,,
Gregory Sword,http://scholar.google.com/citations?user=Mju0vocAAAAJ&hl=en,m,full,1998,505,,,,,,,,,,,,
Greta Wengert,http://scholar.google.com/citations?user=a0D_1-kAAAAJ&hl=en,f,,2012,,,263,676,,,,,,,,,
Guadalupe Williams-Linera,http://scholar.google.com/citations?user=G1f2yxUAAAAJ&hl=en,f,,1989,388,,,,,,,,,,,,
Guang Hu,http://scholar.google.com/citations?user=i8Gy7uYAAAAJ&hl=en,m,postdoc,-999,,,294,,,,,,,,,,
Gubbi Labs,,,,-999,817,,,310,,,,,,,,,
guillaume le goff,http://scholar.google.com/citations?user=7dttIEcAAAAJ&hl=en,m,,2010,,,,,,,99,,,,,,
Guillaume Meric,http://scholar.google.com/citations?user=UEDlh7kAAAAJ&hl=en,m,postdoc,2011,1533,,,,,,,,,,,,
Guley KURT SAHIN,http://scholar.google.com/citations?user=Gz3BDSQAAAAJ&hl=en,f,assistant,-999,1190,,,,,,,,,,,,
Gunnar Kleemann,http://scholar.google.com/citations?user=tbCWjLYAAAAJ&hl=en,m,postdoc,2007,,,,,36,,,,,,,,
Guobjorg Asta Olafsdottir,http://scholar.google.com/citations?user=7AUQCjAAAAAJ&hl=en,f,,2005,,,,,,149,,,,217,,,
Guochun Shen,http://scholar.google.com/citations?user=6dFGuqIAAAAJ&hl=en,,postdoc,-999,1372,,,,,,,,,,,,
gur yaari,http://scholar.google.com/citations?user=IRRcgAEAAAAJ&hl=en,m,postdoc,-999,,,,,,,,,,,56,,
Gurav Zinta,http://scholar.google.com/citations?user=b24UxSMAAAAJ&hl=en,m,student,0,1653,,,,,,,,,,,,
Gururaja KV,http://scholar.google.com/citations?user=ybO__OoAAAAJ&hl=en,m,,-999,,,,482,,,,,,,,131,
Gus Cameron,http://scholar.google.com/citations?user=m5ZFpMkAAAAJ&hl=en,m,,-999,,,303,,,,,,,,,,
Gustav Delius,http://scholar.google.com/citations?user=YbzI-g4AAAAJ&hl=en,m,assistant,1990,533,,,,,,,,,,,,
Gustavo Santos Requena,http://scholar.google.com/citations?user=XMKt0ycAAAAJ&hl=en,m,student,0,,,,,,153,,,,,,,
Guus Roeselers,http://scholar.google.com/citations?user=s6g9wtgAAAAJ&hl=en,,,2007,1041,,,,,,,,,,,,
Guy Castley,http://scholar.google.com/citations?user=bSP1J5MAAAAJ&hl=en,m,,-999,,,,,,,,,,,,96,
Guy Poppy,http://scholar.google.com/citations?user=5V3QDtYAAAAJ&hl=en,m,full,1990,180,,,,,,,,,,,,
Guy Woodward,http://scholar.google.com/citations?user=05GxLPMAAAAJ&hl=en,m,associate,1999,287,,,,,,,,,,,,
Gwendolen Rodgers,http://scholar.google.com/citations?user=J23S6BAAAAAJ&hl=en,f,,-999,,,,,,,107,,,250,,,
H. Resit Akcakaya,http://scholar.google.com/citations?user=RMg7RqkAAAAJ&hl=en,m,full,1989,74,,,23,,,,,,,,,
Hafiz Maherali,http://scholar.google.com/citations?user=afrW_OkAAAAJ&hl=en,m,associate,1999,418,,,,12,,,,,68,,,
Halijah Ibrahim,http://scholar.google.com/citations?user=zFPRoHYAAAAJ&hl=en,f,full,-999,,,,311,,,,,,,,,
Hamish McCallum,http://scholar.google.com/citations?user=kriYL04AAAAJ&hl=en,m,full,-999,228,,,73,,,,,,,,,
Hamish S Greig,http://scholar.google.com/citations?user=zl2DYyYAAAAJ&hl=en,m,,2008,,,162,,,,,,,,,,
Hannah Buckley,http://scholar.google.com/citations?user=QV5gcrcAAAAJ&hl=en,f,,-999,,68,105,,,,,,,,,,
Hannes Baumann,http://scholar.google.com/citations?user=qV3yuEoAAAAJ&hl=en,m,,2006,898,,,,,,,,,,,,
Hans Henrik Bruun,http://scholar.google.com/citations?user=rg4liP8AAAAJ&hl=en,m,associate,1999,544,,,,,,,,,,,,
Hans ter Steege,http://scholar.google.com/citations?user=I5CaIocAAAAJ&hl=en,m,associate,1993,,,,67,,,,,,,,,
Hao WANG,http://scholar.google.com/citations?user=vQGx1xQAAAAJ&hl=en,m,postdoc,-999,883,,,,,,,,,,,,
Harold Fromm,http://scholar.google.com/citations?user=bxM-NvUAAAAJ&hl=en,m,,-999,680,,,,,,,,,,,,
Harold Zald,http://scholar.google.com/citations?user=kbvQypoAAAAJ&hl=en,m,postdoc,2010,,,,,,,,,,,,89,
Haroun Chenchouni,http://scholar.google.com/citations?user=dzbRkJkAAAAJ&hl=en,m,,-999,788,,,,,,,,,,,,
Harri Pettitt-Wade,http://scholar.google.com/citations?user=5JcFZDEAAAAJ&hl=en,,student,0,1698,,,,,,,,,,,,
Hauke Koch,http://scholar.google.com/citations?user=3sAdLboAAAAJ&hl=en,,student,0,1475,,,,,,,,,,,,
Hawthorne Beyer,http://scholar.google.com/citations?user=X_wW_oYAAAAJ&hl=en,m,postdoc,2010,519,,,,,,,,12,,,,
Heather A. Bechtold,http://scholar.google.com/citations?user=5GoJaQsAAAAJ&hl=en,f,postdoc,2010,,,,,,,,72,,,,,
Heather L Bateman,http://scholar.google.com/citations?user=PZPgU2EAAAAJ&hl=en,f,assistant,2007,,,,577,,,,,,,,,
Heather M Ferguson,http://scholar.google.com/citations?user=qrHytcQAAAAJ&hl=en,f,,-999,615,,,,,,,,,,,,
Heather Mathewson,http://scholar.google.com/citations?user=L2xC0U0AAAAJ&hl=en,f,,2010,1214,,,,,,,,,,,,
Hector T Arita,http://scholar.google.com/citations?user=DmlVVhEAAAAJ&hl=en,m,,1992,,19,,,,,,,,,,,
Heidie M. Hornstra O'Neill,http://scholar.google.com/citations?user=NgT6914AAAAJ&hl=en,f,,-999,1102,,,,,,,,,,,,
Heidrun Huber,http://scholar.google.com/citations?user=wgoJRZ8AAAAJ&hl=en,f,assistant,1997,,,,,,,,,,80,,,
Heidy L. Contreras,http://scholar.google.com/citations?user=Z9rNnJAAAAAJ&hl=en,f,assistant,2010,,,,,42,,,,,,,,
Heiko U. Wittmer,http://scholar.google.com/citations?user=kpX0BtkAAAAJ&hl=en,m,associate,2004,,,,299,,,,,,,,,
Helen Bailey,http://scholar.google.com/citations?user=PewlQUIAAAAJ&hl=en,f,,2006,784,,,,,,,,,,,,
Helen Esser,http://scholar.google.com/citations?user=OYtNQtoAAAAJ&hl=en,f,student,0,,,302,,,,,,,,,,
Helen James,http://scholar.google.com/citations?user=nUolJnMAAAAJ&hl=en,f,,2000,360,,,,,,,,,,,,
Helen M. Wade,http://scholar.google.com/citations?user=jC1pNUQAAAAJ&hl=en,f,student,0,1489,,,,,,102,,,,,,
Helene Muller-Landau,http://scholar.google.com/citations?user=V2rEBzcAAAAJ&hl=en,f,,2001,,,,,,,,,,,6,,
Heloise Gibb,http://scholar.google.com/citations?user=jt81f3sAAAAJ&hl=en,f,associate,-999,,,61,,,,,,,,,,
Hendrik Poorter,http://scholar.google.com/citations?user=-7XX1CoAAAAJ&hl=en,m,,-999,39,,,,,,,,,,,,
Henny J. van der Windt,http://scholar.google.com/citations?user=gyzuDhcAAAAJ&hl=en,m,associate,1995,839,,,,,,,,,,,,
Henrik Balslev,http://scholar.google.com/citations?user=m-RGrt4AAAAJ&hl=en,m,full,1982,170,,,,,,,,,,,,
Henrik J. de Knegt,http://scholar.google.com/citations?user=4cneOpIAAAAJ&hl=en,m,postdoc,2010,1142,,,,,,,,,,,,
Henrik von Wehrden,http://scholar.google.com/citations?user=RmW1avAAAAAJ&hl=en,m,assistant,2009,1109,,,,,,,,,,,,
Henrique Miguel Pereira,http://scholar.google.com/citations?user=7rIEh98AAAAJ&hl=en,m,,2002,470,,,,,,,,,,,,
Herve Colinet,http://scholar.google.com/citations?user=BEK_QHIAAAAJ&hl=en,m,,2007,,,,,28,,,,,,,,
Hettyey Attila,http://scholar.google.com/citations?user=OWQw1KgAAAAJ&hl=en,,,2005,,,,,,,65,,,186,,,
Hideaki Shibata,http://scholar.google.com/citations?user=lJ7K0KUAAAAJ&hl=en,m,full,1996,,,,,,,,34,,,,,
Hideyasu Shimadzu,http://scholar.google.com/citations?user=KXeLXT4AAAAJ&hl=en,m,,2008,1501,,,,,,,,,,,,
Hideyuki Doi,http://scholar.google.com/citations?user=jNHwb9MAAAAJ&hl=en,m,assistant,2005,741,,,,,,,,,,,,
Hilmar Hinz,http://scholar.google.com/citations?user=VnWPWkQAAAAJ&hl=en,m,,2005,,,,263,,,,,,,,,
Himanshu Rai,http://scholar.google.com/citations?user=nc0oyZEAAAAJ&hl=en,m,,-999,1642,,,,,,,,,,,,
Hiroshi Kawase,http://scholar.google.com/citations?user=FT6-0PQAAAAJ&hl=en,,,-999,,,,,,141,,,,,,,
Hiroyuki Kurota,http://scholar.google.com/citations?user=wwzujB0AAAAJ&hl=en,m,,2002,1350,,,,,,,,,,,,
"Hoffman, Maurice",http://scholar.google.com/citations?user=IF-J5BgAAAAJ&hl=en,m,associate,1981,567,,,,,,,,,,,,
Hojeong Kang,http://scholar.google.com/citations?user=iM5If-oAAAAJ&hl=en,m,,1999,434,,,,,,,,,,,,
Holger Kreft,http://scholar.google.com/citations?user=ijAYT08AAAAJ&hl=en,m,,2007,,37,,,,,,,,,,,
Holly R. Prendeville,http://scholar.google.com/citations?user=d-v3RSkAAAAJ&hl=en,f,postdoc,2010,,,,,,,,,,203,,,
"Holmes Rolston, III",http://scholar.google.com/citations?user=XTRCEvAAAAAJ&hl=en,m,full,-999,,,,162,,,,,,,,,
Honnavalli Kumara,http://scholar.google.com/citations?user=Va7QLFcAAAAJ&hl=en,,,-999,896,,,,,,,,,,,,
Horacio Naveira,http://scholar.google.com/citations?user=hbDLIH8AAAAJ&hl=en,m,,-999,,,,188,,,,,,,,,
Horacio Samaniego,http://scholar.google.com/citations?user=VeJEo1AAAAAJ&hl=en,m,postdoc,2007,,,,498,,,,,,,,133,
Howard Clark,http://scholar.google.com/citations?user=uuR5B0MAAAAJ&hl=en,m,,-999,1262,,,508,,,,,,,,,
Howard L Frederick,http://scholar.google.com/citations?user=OKEuITcAAAAJ&hl=en,m,,-999,,,,657,,,,,,,,,
Hugh J. MacIsaac,http://scholar.google.com/citations?user=VUQqm6kAAAAJ&hl=en,m,,1990,,,,31,,,,,,,,,
Hugh Possingham,http://scholar.google.com/citations?user=9-veEp8AAAAJ&hl=en,m,full,1987,19,,,7,,,,,,,,,
Hugh Possingham,http://scholar.google.com/citations?user=FyAXGAsAAAAJ&hl=en,m,full,1987,,,,8,,,,,,,,,
Hugo A Benitez,http://scholar.google.com/citations?user=Th2-4-sAAAAJ&hl=en,m,student,0,1583,,,,,,,,,,,,
Hugo I. Martinez-Cabrera,http://scholar.google.com/citations?user=TwibE8cAAAAJ&hl=en,m,postdoc,2010,1185,,,,,,,,,,,,66
Hugo Perales,http://scholar.google.com/citations?user=n9cdTbkAAAAJ&hl=en,m,,-999,,,,,,,,,,138,,,
Hugo Rebelo,http://scholar.google.com/citations?user=DumFQfQAAAAJ&hl=en,m,postdoc,-999,1226,,,,,,,,,,,,
Hugo Sarmento,http://scholar.google.com/citations?user=284mypYAAAAJ&hl=en,m,,2006,906,,,,,,,,,,,,
Huijie Qiao,http://scholar.google.com/citations?user=AtJSLK0AAAAJ&hl=en,m,,-999,1433,,,,,,,,,,,,
Iadine Chades,http://scholar.google.com/citations?user=RMBx8wsAAAAJ&hl=en,f,,-999,1052,,,396,,,,,,,,,
Iain Couzin,http://scholar.google.com/citations?user=iGkvtxwAAAAJ&hl=en,m,full,2000,,,,,,15,,,,,,,
Iain Gordon,http://scholar.google.com/citations?user=qKs0jKMAAAAJ&hl=en,m,,-999,86,,,,,,,,,,,,
Iain R. Caldwell,http://scholar.google.com/citations?user=ux08bCQAAAAJ&hl=en,m,student,0,1365,,,,,,,,,,,,
Iain Stott,http://scholar.google.com/citations?user=h8hyWUoAAAAJ&hl=en,m,student,0,1422,,,,,,,,,,,,
Ian A. Dickie,http://scholar.google.com/citations?user=3jZslbIAAAAJ&hl=en,m,,2000,485,,,,,,,,,,,,
Ian Abbott,http://scholar.google.com/citations?user=A6F1CSQAAAAJ&hl=en,m,,-999,245,,,,,,,,,,,,
Ian D McCarthy,http://scholar.google.com/citations?user=wOazpDcAAAAJ&hl=en,m,Senior Lecturer,1992,,,,,10,,,,,,,,
Ian D. Lunt,http://scholar.google.com/citations?user=qGWHawUAAAAJ&hl=en,m,associate,-999,,,,107,,,,,,,,,
Ian Donohue,http://scholar.google.com/citations?user=L2U8WXIAAAAJ&hl=en,m,assistant,-999,888,,,,,,,,,,,,
Ian G. Warkentin,http://scholar.google.com/citations?user=OJT9f-oAAAAJ&hl=en,m,,1989,,,,,,,,,23,,,,
Ian MacGregor-Fors,http://scholar.google.com/citations?user=3Lj5BwYAAAAJ&hl=en,m,,-999,1104,,,,,,,,,,,,
Ian Rickard,http://scholar.google.com/citations?user=eTP-OeMAAAAJ&hl=en,m,,2009,,,,,,,,,,211,,,
Ian T. Carroll,http://scholar.google.com/citations?user=UNBLOW4AAAAJ&hl=en,m,postdoc,2012,,,,,,,,,,,44,,
Iban Ameztoy,http://scholar.google.com/citations?user=M4dmFRgAAAAJ&hl=en,,,-999,1632,,,,,,,,,,,,
Ignacio Moore,http://scholar.google.com/citations?user=iqUURk0AAAAJ&hl=en,m,associate,1999,333,,,,,,,,,,,,
Ignacio Palomo,http://scholar.google.com/citations?user=W0WElIsAAAAJ&hl=en,m,student,0,,,,690,,,,,,,,,
Ignasi Bartomeus,http://scholar.google.com/citations?user=EXdyoWAAAAAJ&hl=en,m,postdoc,-999,1064,,,,,,,,,,,,
Iker Dobarro del Moral,http://scholar.google.com/citations?user=u5R5F2UAAAAJ&hl=en,m,,2009,,,182,,,,,,,,,,
Ikki Matsuda,http://scholar.google.com/citations?user=YUlXjVUAAAAJ&hl=en,m,assistant,2008,1156,,,,,,,,,,,,
Ilaria Coscia,http://scholar.google.com/citations?user=RRuVNzQAAAAJ&hl=en,f,postdoc,2009,,,,667,,,,,,,,,
